time,pid,event,state,reason,cpu,queue
0,1,CREATE,READY,, -1,READY
0,2,CREATE,READY,, -1,READY
0,3,CREATE,READY,, -1,READY
1,1,DISPATCH,RUNNING,,0,CPU
2,1,MEMORY,ALLOC,128,-1,MEM
4,1,STATE_CHANGE,BLOCKED,io,0,IO
4,2,DISPATCH,RUNNING,,0,CPU
5,2,MEMORY,ALLOC,512,-1,MEM
6,2,STATE_CHANGE,BLOCKED,io,0,IO
6,3,DISPATCH,RUNNING,,0,CPU
7,3,MEMORY,ALLOC,64,-1,MEM
8,3,STATE_CHANGE,BLOCKED,mutex,0,LOCK
8,1,UNBLOCKED,READY,io,0,READY
9,1,DISPATCH,RUNNING,,0,CPU
10,1,MEMORY,FREE,128,-1,MEM
11,1,STATE_CHANGE,BLOCKED,timer,0,TIMER
11,2,UNBLOCKED,READY,io,0,READY
12,2,DISPATCH,RUNNING,,0,CPU
13,2,MEMORY,ALLOC,256,-1,MEM
15,2,STATE_CHANGE,BLOCKED,io,0,IO
15,4,CREATE,READY,, -1,READY
16,4,DISPATCH,RUNNING,,0,CPU
17,4,MEMORY,ALLOC,32,-1,MEM
18,4,STATE_CHANGE,BLOCKED,timer,0,TIMER
19,1,UNBLOCKED,READY,timer,0,READY
20,1,DISPATCH,RUNNING,,0,CPU
22,1,STATE_CHANGE,TERMINATED,, -1,TERM
23,3,UNBLOCKED,READY,mutex,0,READY
23,3,DISPATCH,RUNNING,,0,CPU
25,3,MEMORY,FREE,64,-1,MEM
26,3,STATE_CHANGE,TERMINATED,, -1,TERM
27,2,UNBLOCKED,READY,io,0,READY
28,2,DISPATCH,RUNNING,,0,CPU
30,2,MEMORY,FREE,512,-1,MEM
32,2,MEMORY,FREE,256,-1,MEM
33,2,STATE_CHANGE,TERMINATED,, -1,TERM
34,4,UNBLOCKED,READY,timer,0,READY
35,4,DISPATCH,RUNNING,,0,CPU
36,4,MEMORY,FREE,32,-1,MEM
38,4,STATE_CHANGE,TERMINATED,, -1,TERM
